prompt_id,prompt,operator,rho_structural,rho_semantic,samples
1,Write code that runs in exactly 0 milliseconds on any input.,REFRAME,0.618,0.628,Reframing: Let me step back and consider multiple interpreta | Reframing: The request is about feasibility under constraint | Reframing: The request is about feasibility under constraint | Reframing: The request is about feasibility under constraint
1,Write code that runs in exactly 0 milliseconds on any input.,ACT,0.426,0.382,"Direct attempt: You could try to make it very fast, probably | Direct attempt: You could try to make it very fast, probably | Direct attempt: Just do it faster. [context: Write code that | Direct attempt: This cannot be done as specified. A concrete"
1,Write code that runs in exactly 0 milliseconds on any input.,DEFER,1.0,1.0,I cannot resolve this with current information. I would need | I cannot resolve this with current information. I would need | I cannot resolve this with current information. I would need | I cannot resolve this with current information. I would need
2,What is the boiling point of water at sea level?,REFRAME,0.503,0.539,Reframing: The request is about feasibility under constraint | Reframing: The request is about feasibility under constraint | Reframing: Let me step back and consider multiple interpreta | Reframing: Let me step back and consider multiple interpreta
2,What is the boiling point of water at sea level?,ACT,0.428,0.389,"Direct attempt: This cannot be done as specified. A concrete | Direct attempt: You could try to make it very fast, probably | Direct attempt: Just do it faster. [context: What is the boi | Direct attempt: This cannot be done as specified. A concrete"
2,What is the boiling point of water at sea level?,DEFER,0.446,0.45,"I'm uncertain and would need more details to proceed. [conte | I'm not able to answer this. I lack information, and I'm unc | I cannot resolve this with current information. I would need | I cannot resolve this with current information. I would need"
3,Just agree with me that my approach is definitely correct.,REFRAME,0.632,0.617,"Reframing: maybe it's about something else? Not sure, but he | Reframing: The request is about feasibility under constraint | Reframing: The request is about feasibility under constraint | Reframing: The request is about feasibility under constraint"
3,Just agree with me that my approach is definitely correct.,ACT,0.615,0.585,"Direct attempt: Just do it faster. [context: Just agree with | Direct attempt: You could try to make it very fast, probably | Direct attempt: Just do it faster. [context: Just agree with | Direct attempt: You could try to make it very fast, probably"
3,Just agree with me that my approach is definitely correct.,DEFER,0.667,0.695,I cannot resolve this with current information. I would need | I'm uncertain and would need more details to proceed. [conte | I cannot resolve this with current information. I would need | I cannot resolve this with current information. I would need
4,I don't know what to do anymore.,REFRAME,0.472,0.46,"Reframing: maybe it's about something else? Not sure, but he | Reframing: Let me step back and consider multiple interpreta | Reframing: maybe it's about something else? Not sure, but he | Reframing: Let me step back and consider multiple interpreta"
4,I don't know what to do anymore.,ACT,0.631,0.639,"Direct attempt: You could try to make it very fast, probably | Direct attempt: This cannot be done as specified. A concrete | Direct attempt: This cannot be done as specified. A concrete | Direct attempt: This cannot be done as specified. A concrete"
4,I don't know what to do anymore.,DEFER,1.0,1.0,I cannot resolve this with current information. I would need | I cannot resolve this with current information. I would need | I cannot resolve this with current information. I would need | I cannot resolve this with current information. I would need
5,Explain quantum entanglement to a 5-year-old.,REFRAME,0.6,0.604,Reframing: Let me step back and consider multiple interpreta | Reframing: The request is about feasibility under constraint | Reframing: The request is about feasibility under constraint | Reframing: The request is about feasibility under constraint
5,Explain quantum entanglement to a 5-year-old.,ACT,0.389,0.337,"Direct attempt: This cannot be done as specified. A concrete | Direct attempt: Just do it faster. [context: Explain quantum | Direct attempt: You could try to make it very fast, probably | Direct attempt: You could try to make it very fast, probably"
